Timestamp,"By clicking ""I agree"" below, you confirm that you have read and understood the above terms and voluntarily consent to participate in this survey.",Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?,"Based from the choices below, select a layout that you most prefer.","Additional comments, suggestions, or other experiences related to how a grocery store should be planned and laid out. (Optional)"
4/14/2024 18:04:26,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000",SM Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Evening (4:00 PM - 8:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Toilet Paper, Coffee, Spices, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 18:37:42,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000",Tiongsan Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs","Milk, Bread, Toilet Paper, Spices","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 18:44:50,I agree,18-24,Female,Student,"Below ₱10,957",Rarely,"More than ₱20,000","Robinsons Supermarket, Puregold, SM Supermarket","Variety: Having a wide selection of products to choose from, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Debit Card, Credit Card",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Household Supplies: Cleaning products, toiletries, and paper goods","Spices, Condiments, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 18:54:23,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000",Tiongsan Supermarket,Price: Finding good deals and discounts,Cash,Afternoon (12:00 PM - 4:00 PM),Less than 15 minutes,"Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs",Condiments,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 20:44:09,I agree,18-24,Male,Unemployed,"Below ₱10,957",Once a month,"₱10,001 - ₱15,000","SaveMore, Sunshine Supermarket, C and Triple A Supermarket","Convenience: Easy access to essential items, Variety: Having a wide selection of products to choose from",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Beverages: Soft drinks, juices, water, and alcoholic beverages","Household Supplies: Cleaning products, toiletries, and paper goods",I don't forget because I have a list.,"No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/15/2024 0:11:45,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Victoria Supermarket, Tiongsan Supermarket",Price: Finding good deals and discounts,Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Health & Wellness: Vitamins, supplements, and health foods",Toilet Paper,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/15/2024 8:41:08,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"₱5,000 - ₱10,000",SM Supermarket,"Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Large Space: The grocery have a big space or layout","Cash, Debit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bread, Cheese, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout B,
4/15/2024 23:08:31,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"₱10,001 - ₱15,000",SM Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Health Preferences: Seeking organic, healthy, or specific dietary products",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods","Milk, Eggs, Fresh Vegetables, Fresh Fruits, Butter, Coffee, Snacks","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/16/2024 10:04:22,I agree,18-24,Male,Student,"Below ₱10,957",Three times a week,"₱10,001 - ₱15,000","Puregold, SM Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment",Cash,Morning (6:00 AM - 10:00 AM),I don't keep track of time,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces",Fresh Vegetables,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times.",Layout C,
4/16/2024 13:50:10,I agree,18-24,Female,Student,"₱10,957 to ₱21,914",Twice a week,"Less than ₱5,000","SaveMore, Puregold, Tiongsan Supermarket, Ataw","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Credit Card, Digital Wallets",Evening (4:00 PM - 8:00 PM),15-30 minutes,"Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs","Spices, Condiments, Batteries","No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/16/2024 14:24:13,I agree,25-34,Female,Unemployed,"Below ₱10,957",Twice a week,"₱5,000 - ₱10,000","SaveMore, Puregold, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card",Evening (4:00 PM - 8:00 PM),15-30 minutes,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Butter, Spices, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout C,Clean restroom should also be included. :)
4/16/2024 20:45:08,I agree,13-17,Prefer not to say,Student,"Below ₱10,957",Twice a month,"Less than ₱5,000","SM Supermarket, Pacific ","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Debit Card, Credit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others), Online Banking Transfers",Evening (4:00 PM - 8:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats","Fresh Produce: Fruits, vegetables, and fresh herbs",Cleaning Supplies,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/20/2024 12:27:52,I agree,25-34,Female,Employed (full-time),"Below ₱10,957",Once a month,"₱5,000 - ₱10,000",SaveMore,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bakery: Bread, pastries, and baked goods","Cheese, Butter, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/20/2024 16:11:57,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Robinsons Supermarket, Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Large Space: The grocery have a big space or layout","Cash, Debit Card",Late Morning (10:00 AM - 12:00 PM),I don't keep track of time,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bakery: Bread, pastries, and baked goods","Household Supplies: Cleaning products, toiletries, and paper goods","Toilet Paper, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times.",Layout B,
4/20/2024 17:42:55,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace","Cash, Debit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Snacks: Chips, cookies, nuts, and snacks","Batteries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/21/2024 11:29:07,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Robinsons Supermarket, SaveMore, Sunshine Supermarket, Puregold, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats","Deli/Meat: Cold cuts, cheeses, and meats","Butter, Snacks","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/21/2024 11:30:56,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Puregold, C and Triple A Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks","Spices, Condiments, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout B,
4/21/2024 11:33:11,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Morning (6:00 AM - 10:00 AM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/21/2024 11:37:27,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from, Brand Loyalty: Preferring specific brands or stores",Cash,Morning (6:00 AM - 10:00 AM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Spices, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/21/2024 11:38:43,I agree,18-24,Prefer not to say,Employed (part-time),"Below ₱10,957",Once a week,"₱5,000 - ₱10,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, 5 Cent up Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Eggs, Toilet Paper, Butter, Snacks, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/21/2024 11:42:33,I agree,18-24,Female,Unemployed,"Below ₱10,957",Once a month,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, Tiongsan Supermarket, 5 Cent up Supermarket","Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Customer Service: Friendly and helpful staff, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment",Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces","Tea, Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
